1:...育"作为一个专有名很少出现，大多只单用一个"教"字，如《中庸》说："修道之谓教"[；]《荀子·修身》说："以善先人者谓之教"[；]《学记》说："教也者，长善而救其失者也"。在西方，教育一词源于...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
2:...并之成为封建统治阶级服务。唐代的学校制度规定、弘文馆、崇文馆只收皇亲、大臣的子孙[；]国子学收三品以上文武官员的子孙[；]书学、算学、律学则收八品以下文武官员的子孙以及通书学、算学、律学的庶人子弟入学。地方设立的府、州、县学的入学条件虽无严格的等级限制，但由于各名额有限，只有地方官吏和富豪地主的子弟才有入学机支。农民和手工业者的子弟很少有条件入学。至于私学，表面上虽无限制，但由于要收取学费，分困农民和手工业者的子弟也很难获得学习机会。劳动人民子弟基本上还是通过父传子、师带徒的形式在生产劳动和社会生活实践中接受教育。在中国封建社会，教育的主要目的是培养官吏，学校的主要任务是"养士"。学成之后，经选拔或通过科举考试，优秀者授予官职。在欧洲，封建社会的教育除了明显的阶级性、等级性外，还具有强烈的宗教性。中世纪前半期，教育机关被教会垄断，学校附属于教堂，教育目的是培养僧侣及为宗教育服务的专门人才[；]同时，也向群众宣传宗教，以便使群众信仰宗教，世俗封建主的教育，...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
3:...来说，都与以往各个时代的教育有着继承的关系。例如，启发式教学追溯到孔子、苏格拉底[；]课堂教学这种教学组织形式，自17世纪至今，仍是学校教学的基本组织形式[；]某些教学内容，特别是自然科学知识、语言文字知识等，成为各历史时期的共同内容[；]一些反映教育规律的教育思想和理论，也被继承和发展。每一社会的教...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
4:...展的规模和速度、教育目的、教育内容、专业设置、教育的设备、教学方法和教学组织形式[；]二是社会的政治、经济决定着教育的领导权、受教育权、教育目的和一...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
5:...主要内容。学校教育要为生产服务，主要是对学生进行科学技术知识和生产劳动技能的教育[；]为政治服务，主要是对学生进行政治理论、思想品德等的教育[；]人们无论进行何种生产劳动或其他种种活动，都需要强健的体力，这就...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
6:　　上述教育规律是相互密切联系的。教育与社会发展相适应是通过培养人来实现的[；]儿童身心发展也必须体现在人的全面发展上，而人的全面发展又受到社...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
7:...域或教育过程不同阶段存在的本质联系和必然趋势。如不同社会形态下教育发展的不同规律[；]不同领域教育活动的规律，如德育规律、教学规律、体育规律等。对这...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
8:...派。实用主义教育批判传统教育的形式主义，强调"教育即生活"，主张教育成为生活过程[；]强调"学校即社会"，把学校办成一个"雏形社会"[；]强调"儿童中心"，使教育科目以儿童自身的社会活动为中心[；]强调"做中学"，让儿童在自身的社会活动中学习。此外，还十分重视...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
9:...产阶级政治服务。他提出，要用共产主义精神教育青年一长，使他们成为真正的共产主义者[；]青年要成为真正共产主义者，必须要用人类全部知识财富来丰富自己的头脑[；]应该使培养、教育和训练现代青年的全部事业，成为培养青年的共产主义道德的事业[；]要把普遍的劳动与普遍的教育结合起来。毛泽东同志把马克思列宁主义...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
10:...的教育家。其代表作是《新教育大纲》。他认为：教育是上层建筑，同经济基础有依存关系[；]教育既受生产方式也受政治制度所制约，又对经济发展、政治变革起促进作用[；]教育因社会生产劳动的需要而产生，并在生产劳动过程中发展起来[；]教育应当与生产劳动密切结合、为全社会所共享[；]在阶级社会，教育成了剥削阶级统治的工具，教育与生产劳动相脱离。...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
11:...仅把教育看成与政治、经济相联系的传统观点，并导致了确立教育在经济发展中的战略地位[；]关于人的全面发展问题讨论，使人们对马克思主义全面发展学说的历史背景，人的全面发展的本质特征和具体内容，社会主义教育目的中培养全面发展的人，以及教育与生产劳动相结合等问题有了新的更加全面的认识[；]在德育方面，对德育的价值，由只强调"为阶级斗争服务"转变成为社会主义现代化服务，并提出加强德育也是人类自身发展的需要[；]在教学论方面对教学中传授知识与发展智力及个性的关系，教和学的关系、教学原则、课程理论、教学评价、教学艺术等问题，取得了许多新的认识[；]关于教育的领导体制问题，经过讨论改变了把高度集中当作社会主义教...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
